Name,ISO,UN_Region,UN_Subregion,WB_Income_Group,HDI_Group,UNFCCC,G7,G20,G77,LDC,SIDS,AOSIS,BASIC,BRICS,EU27,ETS,OPEC,Arab_States,Cartagena,Umbrella,MAC_MIT,MAC_McKinsey,MAC_GCAM,RCP_IIASA
Libya,LBY,Africa,Northern Africa,UMC,Hi HDI,Non-Annex 1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,MES,MESm,AFRN,MAF
Lithuania,LTU,Europe,Northern Europe,HIC,VHi HDI,Annex 1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,EET,rEUR,EEUR,REF
Luxembourg,LUX,Europe,Western Europe,HIC,VHi HDI,Annex 1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,EUR,rEUR,EU12,OECD90
Macao,MAC,Asia,Eastern Asia,HIC,,Non-Annex 1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,CHN,CHNm,CHNg,ASIA
Macedonia,MKD,Europe,Southern Europe,UMC,Hi HDI,Non-Annex 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EET,rEET,EnEU,REF
Madagascar,MDG,Africa,Sub-Saharan Africa,LIC,Lo HDI,Non-Annex 1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,AFR,rAFR,AFRE,MAF
Malawi,MWI,Africa,Sub-Saharan Africa,LIC,Lo HDI,Non-Annex 1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,AFR,rAFR,AFRE,MAF
Malaysia,MYS,Asia,South-eastern Asia,UMC,VHi HDI,Non-Annex 1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,ASI,rdASI,SEASI,ASIA
Maldives,MDV,Asia,Southern Asia,UMC,Hi HDI,Non-Annex 1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,ROW,rdASI,SASI,ASIA
Mali,MLI,Africa,Sub-Saharan Africa,LIC,Lo HDI,Non-Annex 1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,AFR,rAFR,AFRW,MAF
Malta,MLT,Europe,Southern Europe,HIC,VHi HDI,Annex 1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,EUR,rEUR,EEUR,REF
Marshall Islands,MHL,Oceania,Micronesia,UMC,Med HDI,Non-Annex 1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,ROW,rdASI,ANZg,OECD90
Mauritania,MRT,Africa,Sub-Saharan Africa,LMC,Med HDI,Non-Annex 1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,AFR,rAFR,AFRW,MAF
Mauritius,MUS,Africa,Sub-Saharan Africa,UMC,VHi HDI,Non-Annex 1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,AFR,rAFR,AFRE,MAF
Mexico,MEX,Americas,Latin America and the Caribbean,UMC,Hi HDI,Non-Annex 1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,MEX,MEXm,MEXg,LAMi
Moldova,MDA,Europe,Eastern Europe,UMC,Hi HDI,Non-Annex 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EET,rEET,EEUR,REF
Mongolia,MNG,Asia,Eastern Asia,LMC,Hi HDI,Non-Annex 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ROW,rdASI,CASI,ASIA
Montenegro,MNE,Europe,Southern Europe,UMC,VHi HDI,Non-Annex 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EET,rEET,EEUR,REF
Morocco,MAR,Africa,Northern Africa,LMC,Med HDI,Non-Annex 1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,AFR,rAFR,AFRN,MAF
